datetime,symbol,IND_SCORE,rank,diff
2023-01-27 00:00:00-05:00,ABNB,65.2256367527797,1.0,
2023-01-27 00:00:00-05:00,ADBE,58.169881674191785,2.0,
2023-01-27 00:00:00-05:00,ADI,56.19365189903806,3.0,
2023-01-27 00:00:00-05:00,ADP,39.59116426712589,4.0,
2023-01-30 00:00:00-05:00,ABNB,57.911210640259846,1.0,0.0
2023-01-30 00:00:00-05:00,ADBE,55.960837036451565,2.0,0.0
2023-01-30 00:00:00-05:00,ADI,55.06162289556133,3.0,0.0
2023-01-30 00:00:00-05:00,ADP,40.154736320303094,4.0,0.0
2023-01-31 00:00:00-05:00,ABNB,55.21930257462784,1.0,0.0
2023-01-31 00:00:00-05:00,ADBE,52.85328421788538,2.0,0.0
2023-01-31 00:00:00-05:00,ADI,52.313671125807176,3.0,0.0
2023-01-31 00:00:00-05:00,ADP,43.23398070072066,4.0,0.0
2023-02-01 00:00:00-05:00,ABNB,56.46346387146896,3.0,2.0
2023-02-01 00:00:00-05:00,ADBE,58.6540356326166,2.0,0.0
2023-02-01 00:00:00-05:00,ADI,58.69842750540676,1.0,-2.0
2023-02-01 00:00:00-05:00,ADP,49.14971436877873,4.0,0.0
2023-02-02 00:00:00-05:00,ABNB,66.46427113079588,1.0,-2.0
2023-02-02 00:00:00-05:00,ADBE,63.94712914526541,2.0,0.0
2023-02-02 00:00:00-05:00,ADI,62.899769407491384,3.0,2.0
2023-02-02 00:00:00-05:00,ADP,50.374531518373686,4.0,0.0
2023-02-03 00:00:00-05:00,ABNB,65.32619378513803,1.0,0.0
2023-02-03 00:00:00-05:00,ADBE,58.13761428223411,3.0,1.0
2023-02-03 00:00:00-05:00,ADI,61.87881901904348,2.0,-1.0
2023-02-03 00:00:00-05:00,ADP,48.11813345335813,4.0,0.0
2023-02-06 00:00:00-05:00,ABNB,62.88959418118882,1.0,0.0
2023-02-06 00:00:00-05:00,ADBE,50.79797595146649,3.0,0.0
2023-02-06 00:00:00-05:00,ADI,59.5609723292364,2.0,0.0
2023-02-06 00:00:00-05:00,ADP,42.570802696279735,4.0,0.0
2023-02-07 00:00:00-05:00,ABNB,60.89615210881339,1.0,0.0
2023-02-07 00:00:00-05:00,ADBE,53.509589590744795,3.0,0.0
2023-02-07 00:00:00-05:00,ADI,56.89032453938871,2.0,0.0
2023-02-07 00:00:00-05:00,ADP,43.550294592306564,4.0,0.0
2023-02-08 00:00:00-05:00,ABNB,59.04884180458844,2.0,1.0
2023-02-08 00:00:00-05:00,ADBE,57.32035116438023,3.0,0.0
2023-02-08 00:00:00-05:00,ADI,59.65320726907658,1.0,-1.0
2023-02-08 00:00:00-05:00,ADP,48.85852699097002,4.0,0.0
2023-02-09 00:00:00-05:00,ABNB,52.39043768738811,3.0,1.0
2023-02-09 00:00:00-05:00,ADBE,55.56181948204361,2.0,-1.0
2023-02-09 00:00:00-05:00,ADI,56.94770671416695,1.0,0.0
2023-02-09 00:00:00-05:00,ADP,48.14098117463118,4.0,0.0
2023-02-10 00:00:00-05:00,ABNB,44.35382877040602,4.0,1.0
2023-02-10 00:00:00-05:00,ADBE,48.57535259107824,2.0,0.0
2023-02-10 00:00:00-05:00,ADI,54.410203349203336,1.0,0.0
2023-02-10 00:00:00-05:00,ADP,46.84061980516253,3.0,-1.0
2023-02-13 00:00:00-05:00,ABNB,53.376895724537974,2.0,-2.0
2023-02-13 00:00:00-05:00,ADBE,50.5348273191349,4.0,2.0
2023-02-13 00:00:00-05:00,ADI,59.21014200425868,1.0,0.0
2023-02-13 00:00:00-05:00,ADP,52.05251252256966,3.0,0.0
2023-02-14 00:00:00-05:00,ABNB,60.96283752443454,2.0,0.0
2023-02-14 00:00:00-05:00,ADBE,52.02183164835993,3.0,-1.0
2023-02-14 00:00:00-05:00,ADI,61.22657447439906,1.0,0.0
2023-02-14 00:00:00-05:00,ADP,50.35109424548524,4.0,1.0
2023-02-15 00:00:00-05:00,ABNB,73.25543006927944,1.0,-1.0
2023-02-15 00:00:00-05:00,ADBE,53.19388564134597,3.0,0.0
2023-02-15 00:00:00-05:00,ADI,67.73000855144852,2.0,1.0
2023-02-15 00:00:00-05:00,ADP,47.55786202513502,4.0,0.0
2023-02-16 00:00:00-05:00,ABNB,72.8113570977893,1.0,0.0
2023-02-16 00:00:00-05:00,ADBE,48.177987520518094,4.0,1.0
2023-02-16 00:00:00-05:00,ADI,65.34208527200855,2.0,0.0
2023-02-16 00:00:00-05:00,ADP,49.083540918935164,3.0,-1.0
2023-02-17 00:00:00-05:00,ABNB,65.89846702432429,1.0,0.0
2023-02-17 00:00:00-05:00,ADBE,43.49275845980172,4.0,0.0
2023-02-17 00:00:00-05:00,ADI,64.62414172499444,2.0,0.0
2023-02-17 00:00:00-05:00,ADP,52.445757078175696,3.0,0.0
2023-02-21 00:00:00-05:00,ABNB,58.508156224320125,1.0,0.0
2023-02-21 00:00:00-05:00,ADBE,41.26582931249744,4.0,0.0
2023-02-21 00:00:00-05:00,ADI,55.745405621445585,2.0,0.0
2023-02-21 00:00:00-05:00,ADP,49.32531035633619,3.0,0.0
2023-02-22 00:00:00-05:00,ABNB,56.50339881175667,1.0,0.0
2023-02-22 00:00:00-05:00,ADBE,40.920506795047565,4.0,0.0
2023-02-22 00:00:00-05:00,ADI,53.44401548790472,2.0,0.0
2023-02-22 00:00:00-05:00,ADP,44.58890913385518,3.0,0.0
