sector,ticker
xmj,LPI
xmj,HGO
xmj,AVL
xmj,ATC
xmj,GEN
xmj,DRE
xmj,PDZ
xmj,BCB
xmj,LCD
xmj,BML
xmj,DGR
xmj,GBZ
xmj,OKU
xmj,KAI
xmj,ASN
xmj,SRK
xmj,DRX
xmj,AML
xmj,EUR
xmj,ICG
xmj,BRB
xmj,ENR
xmj,KLA
xmj,GBE
xmj,YRL
xmj,KZR
xmj,XAM
xmj,ESR
xmj,WRM
xmj,BRL
xmj,DME
xmj,TGH
xmj,CKA
xmj,TMT
xmj,PEC
xmj,FML
xmj,LOM
xmj,E2M
xmj,SWK
xmj,HWK
xmj,SGQ
xmj,STN
xmj,HLX
xmj,AOU
xmj,AAR
xmj,BIS
xmj,KRR
xmj,MRL
xmj,RCP
xmj,HRN
xmj,SIH
xmj,VII
xmj,S2R
xmj,CST
xmj,CAD
xmj,CCZ
xmj,ARD
xmj,LSA
xmj,TRT
xmj,AKM
xmj,AQI
xmj,KRM
xmj,AME
xmj,TON
xmj,BAT
xmj,CLE
xmj,RDM
xmj,EQX
xmj,GML
xmj,CLA
xmj,MSR
xmj,STM
xmj,CNB
xmj,TLM
xmj,MMI
xmj,FEL
xmj,REE
xmj,SHP
xmj,GAL
xmj,MTC
xmj,RDN
xmj,TSL
xmj,HXG
xmj,INF
xmj,AON
xmj,DTR
xmj,ERM
xmj,WAK
xmj,MTH
xmj,NAG
xmj,ASQ
xmj,VAL
xmj,MKR
xmj,DKM
xmj,CZR
xmj,EQR
xmj,BNZ
xmj,GME
xmj,CAE
xmj,GBR
xmj,CTO
xmj,FRB
xmj,SKY
xmj,VYS
xmj,IPT
xmj,AJX
xmj,VKA
xmj,SMG
xmj,CRR
xmj,AWV
xmj,PNX
xmj,BSR
xmj,MVL
xmj,FFR
xmj,GMN
xmj,TAR
xmj,AGS
xmj,STK
xmj,AIV
xmj,ARR
xmj,PGM
xmj,ANX
xmj,GMC
xmj,MNB
xmj,MAG
xmj,CBE
xmj,VMC
xmj,KAU
xmj,PWN
xmj,PRX
xmj,BLY
xmj,GMR
xmj,TNR
xmj,ENX
xmj,JAL
xmj,TRY
xmj,CWX
xmj,ARN
xmj,AUR
xmj,SRZ
xmj,IBG
xmj,MM8
xmj,JNO
xmj,LMG
xmj,DEX
xmj,ARE
xmj,ATU
xmj,ORM
xmj,MRD
xmj,ONX
xmj,MAT
xmj,SUP
xmj,VAR
xmj,COY
xmj,CHK
xmj,HRR
xmj,EQE
xmj,CNJ
xmj,A1G
xmj,DM1
xmj,TBA
xmj,RWD
xmj,BGT
xmj,AZI
xmj,IDA
xmj,MKG
xmj,AUL
xmj,ACS
xmj,BEM
xmj,GL1
xmj,KCC
xmj,TAS
xmj,OAR
xmj,AGR
xmj,PXX
xmj,ESS
xmj,BSM
xmj,MGL
xmj,SHN
xmj,ICL
